process_code,ngay_trung,thu,ten_giai,so_trung,range_group,is_weekend,is_even,crawl_time
CRAWL_001,2025-10-23,Thứ tư,Giải Đặc Biệt,49274,00000-99999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Sáu,346,000-999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Sáu,258,000-999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Sáu,090,000-999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Bảy,78,00-99,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Bảy,90,00-99,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Bảy,69,00-99,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Bảy,50,00-99,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Nhì,75515,00000-99999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Nhì,04948,00000-99999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Ba,01151,00000-99999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Ba,13907,00000-99999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Ba,46897,00000-99999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Ba,62686,00000-99999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Ba,30189,00000-99999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Ba,10638,00000-99999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Tư,3300,0000-9999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Tư,7747,0000-9999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Tư,7758,0000-9999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Tư,8312,0000-9999,false,true,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Năm,1365,0000-9999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Năm,4005,0000-9999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Năm,7901,0000-9999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Năm,1665,0000-9999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Năm,7845,0000-9999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Năm,9933,0000-9999,false,false,2025-10-23 00:56:14
CRAWL_001,2025-10-23,Thứ tư,Giải Nhất,40078,00000-99999,false,true,2025-10-23 00:56:14
